SUID,BEND_MAP_ID,cluster1_Adj_cyto.csv,inter,interaction,name,selected,shared interaction,shared name,
1004,133,31.9186294202,,interacts with,Fusobacterium (interacts with) Porphyromonas,false,interacts with,Fusobacterium (interacts with) Porphyromonas,
1005,132,7.6008754984,,interacts with,Fusobacterium (interacts with) Neisseria,false,interacts with,Fusobacterium (interacts with) Neisseria,
1006,131,12.3507593454,,interacts with,Fusobacterium (interacts with) Leptotrichia,false,interacts with,Fusobacterium (interacts with) Leptotrichia,
1007,130,1.4566400926,,interacts with,Fusobacterium (interacts with) Haemophilus,false,interacts with,Fusobacterium (interacts with) Haemophilus,
1008,129,6.756531382,,interacts with,Fusobacterium (interacts with) Granulicatella,false,interacts with,Fusobacterium (interacts with) Granulicatella,
1009,128,7.072654476,,interacts with,Fusobacterium (interacts with) Gemella,false,interacts with,Fusobacterium (interacts with) Gemella,
1010,127,9.8439093193,,interacts with,Fusobacterium (interacts with) Actinomyces,false,interacts with,Fusobacterium (interacts with) Actinomyces,
1011,126,1.7245125065,,interacts with,Actinomyces (interacts with) RV,false,interacts with,Actinomyces (interacts with) RV,
1012,125,-2.31601941,,interacts with,Actinomyces (interacts with) PIV3,false,interacts with,Actinomyces (interacts with) PIV3,
1013,123,5.4773687915,,interacts with,Actinomyces (interacts with) Saccharomyces,false,interacts with,Actinomyces (interacts with) Saccharomyces,
1014,122,-0.247068478,,interacts with,Actinomyces (interacts with) Cryptococcus,false,interacts with,Actinomyces (interacts with) Cryptococcus,
1015,121,1.2796336585,,interacts with,Actinomyces (interacts with) Candida,false,interacts with,Actinomyces (interacts with) Candida,
1016,120,4.3251956147,,interacts with,Actinomyces (interacts with) Aspergillus,false,interacts with,Actinomyces (interacts with) Aspergillus,
1017,119,-0.2394497934,-1,interacts with,Actinomyces (interacts with) Pseudomonas,true,interacts with,Actinomyces (interacts with) Pseudomonas,
1018,118,-1.4542919007,,interacts with,Actinomyces (interacts with) Moraxella,false,interacts with,Actinomyces (interacts with) Moraxella,
1019,117,-0.4750756441,,interacts with,Actinomyces (interacts with) Klebsiella,false,interacts with,Actinomyces (interacts with) Klebsiella,
1020,116,19.7337378654,,interacts with,Actinomyces (interacts with) Veillonella,false,interacts with,Actinomyces (interacts with) Veillonella,
1021,115,8.981793331,,interacts with,Actinomyces (interacts with) Streptococcus,false,interacts with,Actinomyces (interacts with) Streptococcus,
1022,114,14.9641603915,,interacts with,Actinomyces (interacts with) Rothia,false,interacts with,Actinomyces (interacts with) Rothia,
1023,113,36.7992818826,,interacts with,Actinomyces (interacts with) Prevotella,false,interacts with,Actinomyces (interacts with) Prevotella,
1024,112,8.5685713157,,interacts with,Actinomyces (interacts with) Porphyromonas,false,interacts with,Actinomyces (interacts with) Porphyromonas,
1025,111,6.9023147149,,interacts with,Actinomyces (interacts with) Neisseria,false,interacts with,Actinomyces (interacts with) Neisseria,
1026,110,14.7888302192,,interacts with,Actinomyces (interacts with) Leptotrichia,false,interacts with,Actinomyces (interacts with) Leptotrichia,
1027,109,0.8088956661,,interacts with,Actinomyces (interacts with) Haemophilus,false,interacts with,Actinomyces (interacts with) Haemophilus,
1028,108,10.1587514018,,interacts with,Actinomyces (interacts with) Granulicatella,false,interacts with,Actinomyces (interacts with) Granulicatella,
1029,107,7.7265946778,,interacts with,Actinomyces (interacts with) Gemella,false,interacts with,Actinomyces (interacts with) Gemella,
1030,106,9.8439093193,,interacts with,Actinomyces (interacts with) Fusobacterium,false,interacts with,Actinomyces (interacts with) Fusobacterium,
1031,105,2.6171938087,,interacts with,Actinomyces (interacts with) Actinobacillus,false,interacts with,Actinomyces (interacts with) Actinobacillus,
1032,104,10.073896637,,interacts with,Actinobacillus (interacts with) RV,false,interacts with,Actinobacillus (interacts with) RV,
1033,103,-0.2290407057,,interacts with,Actinobacillus (interacts with) PIV3,false,interacts with,Actinobacillus (interacts with) PIV3,
1034,101,4.3433079474,,interacts with,Actinobacillus (interacts with) Penicillium,false,interacts with,Actinobacillus (interacts with) Penicillium,
1035,100,-0.8392314416,,interacts with,Actinobacillus (interacts with) Cryptococcus,false,interacts with,Actinobacillus (interacts with) Cryptococcus,
1036,99,0.1501255151,,interacts with,Actinobacillus (interacts with) Candida,false,interacts with,Actinobacillus (interacts with) Candida,
1037,98,3.1571079484,,interacts with,Actinobacillus (interacts with) Aspergillus,false,interacts with,Actinobacillus (interacts with) Aspergillus,
1038,97,0.1748184753,1,interacts with,Actinobacillus (interacts with) Pseudomonas,true,interacts with,Actinobacillus (interacts with) Pseudomonas,
