SUID,cluster2_Adj_cyto.csv,inter,interaction,name,selected,shared interaction,shared name,
146,10.3855760941,,interacts with,Penicillium (interacts with) Cryptococcus,false,interacts with,Penicillium (interacts with) Cryptococcus,
147,-1.2449454096,,interacts with,Penicillium (interacts with) Candida,false,interacts with,Penicillium (interacts with) Candida,
148,-0.6076784577,,interacts with,Penicillium (interacts with) Aspergillus,false,interacts with,Penicillium (interacts with) Aspergillus,
149,0.5821990069,1,interacts with,Penicillium (interacts with) Pseudomonas,true,interacts with,Penicillium (interacts with) Pseudomonas,
150,-3.4396198216,,interacts with,Penicillium (interacts with) Klebsiella,false,interacts with,Penicillium (interacts with) Klebsiella,
151,-4.0112453126,,interacts with,Penicillium (interacts with) Veillonella,false,interacts with,Penicillium (interacts with) Veillonella,
152,3.1760666835,,interacts with,Penicillium (interacts with) Streptococcus,false,interacts with,Penicillium (interacts with) Streptococcus,
153,0.2900410643,,interacts with,Penicillium (interacts with) Rothia,false,interacts with,Penicillium (interacts with) Rothia,
154,-3.0703031536,,interacts with,Penicillium (interacts with) Prevotella,false,interacts with,Penicillium (interacts with) Prevotella,
155,-0.3464370844,,interacts with,Penicillium (interacts with) Porphyromonas,false,interacts with,Penicillium (interacts with) Porphyromonas,
156,-0.7454934297,,interacts with,Penicillium (interacts with) Neisseria,false,interacts with,Penicillium (interacts with) Neisseria,
157,-2.7733224515,,interacts with,Penicillium (interacts with) Leptotrichia,false,interacts with,Penicillium (interacts with) Leptotrichia,
158,5.1333384068,,interacts with,Penicillium (interacts with) Haemophilus,false,interacts with,Penicillium (interacts with) Haemophilus,
159,15.2362741247,,interacts with,Penicillium (interacts with) Granulicatella,false,interacts with,Penicillium (interacts with) Granulicatella,
160,-1.0855807927,,interacts with,Penicillium (interacts with) Gemella,false,interacts with,Penicillium (interacts with) Gemella,
161,-3.3376919411,,interacts with,Penicillium (interacts with) Fusobacterium,false,interacts with,Penicillium (interacts with) Fusobacterium,
162,-0.5714683036,,interacts with,Penicillium (interacts with) Actinomyces,false,interacts with,Penicillium (interacts with) Actinomyces,
163,-2.2908456024,,interacts with,Penicillium (interacts with) Actinobacillus,false,interacts with,Penicillium (interacts with) Actinobacillus,
164,-1.5410346115,,interacts with,Cryptococcus (interacts with) RV,false,interacts with,Cryptococcus (interacts with) RV,
165,-2.6242914279,,interacts with,Cryptococcus (interacts with) PIV3,false,interacts with,Cryptococcus (interacts with) PIV3,
166,4.8688306114,,interacts with,Cryptococcus (interacts with) Saccharomyces,false,interacts with,Cryptococcus (interacts with) Saccharomyces,
167,10.3855760941,,interacts with,Cryptococcus (interacts with) Penicillium,false,interacts with,Cryptococcus (interacts with) Penicillium,
168,14.7071371314,,interacts with,Cryptococcus (interacts with) Candida,false,interacts with,Cryptococcus (interacts with) Candida,
169,-3.7521812714,,interacts with,Cryptococcus (interacts with) Aspergillus,false,interacts with,Cryptococcus (interacts with) Aspergillus,
170,0.2519423145,1,interacts with,Cryptococcus (interacts with) Pseudomonas,true,interacts with,Cryptococcus (interacts with) Pseudomonas,
171,-1.2763382588,,interacts with,Cryptococcus (interacts with) Moraxella,false,interacts with,Cryptococcus (interacts with) Moraxella,
172,-3.7589214235,,interacts with,Cryptococcus (interacts with) Klebsiella,false,interacts with,Cryptococcus (interacts with) Klebsiella,
173,-7.0044495882,,interacts with,Cryptococcus (interacts with) Veillonella,false,interacts with,Cryptococcus (interacts with) Veillonella,
174,4.7523018732,,interacts with,Cryptococcus (interacts with) Streptococcus,false,interacts with,Cryptococcus (interacts with) Streptococcus,
175,1.1859551959,,interacts with,Cryptococcus (interacts with) Rothia,false,interacts with,Cryptococcus (interacts with) Rothia,
176,-5.3366562125,,interacts with,Cryptococcus (interacts with) Prevotella,false,interacts with,Cryptococcus (interacts with) Prevotella,
177,-2.7849611871,,interacts with,Cryptococcus (interacts with) Porphyromonas,false,interacts with,Cryptococcus (interacts with) Porphyromonas,
178,-4.1665711227,,interacts with,Cryptococcus (interacts with) Neisseria,false,interacts with,Cryptococcus (interacts with) Neisseria,
179,-4.5364766537,,interacts with,Cryptococcus (interacts with) Leptotrichia,false,interacts with,Cryptococcus (interacts with) Leptotrichia,
180,7.4592462438,,interacts with,Cryptococcus (interacts with) Haemophilus,false,interacts with,Cryptococcus (interacts with) Haemophilus,
181,15.3110877256,,interacts with,Cryptococcus (interacts with) Granulicatella,false,interacts with,Cryptococcus (interacts with) Granulicatella,
182,-1.0445596412,,interacts with,Cryptococcus (interacts with) Gemella,false,interacts with,Cryptococcus (interacts with) Gemella,
183,-5.618860735,,interacts with,Cryptococcus (interacts with) Fusobacterium,false,interacts with,Cryptococcus (interacts with) Fusobacterium,
184,-2.8419841599,,interacts with,Cryptococcus (interacts with) Actinomyces,false,interacts with,Cryptococcus (interacts with) Actinomyces,
185,-3.3640897071,,interacts with,Cryptococcus (interacts with) Actinobacillus,false,interacts with,Cryptococcus (interacts with) Actinobacillus,
186,0.5593595975,,interacts with,Candida (interacts with) RV,false,interacts with,Candida (interacts with) RV,
187,2.8881656643,,interacts with,Candida (interacts with) PIV3,false,interacts with,Candida (interacts with) PIV3,
188,-3.4183828882,,interacts with,Candida (interacts with) Saccharomyces,false,interacts with,Candida (interacts with) Saccharomyces,
189,-12.6300963336,,interacts with,Candida (interacts with) Penicillium,false,interacts with,Candida (interacts with) Penicillium,
190,12.2354947346,,interacts with,Candida (interacts with) Cryptococcus,false,interacts with,Candida (interacts with) Cryptococcus,
191,2.1894805833,,interacts with,Candida (interacts with) Aspergillus,false,interacts with,Candida (interacts with) Aspergillus,
