K_value,Avg_silhouette,Sil_cluster1,Sil_cluster2,Sil_cluster3,Sil_cluster4,Sil_cluster5
161,0.7876737747,0.7466496423,0.8152164706,0.9602052966,,
162,0.7876613243,0.746662295,0.8151678162,0.960184023,,
159,0.7876580584,0.7467195229,0.8150678848,0.9602066015,,
189,0.7876546898,0.7466553907,0.815236529,0.9598026925,,
188,0.7876503836,0.7467011113,0.8151582898,0.959789724,,
186,0.7876431845,0.7467906526,0.8150083107,0.9597648267,,
187,0.7876421812,0.7466929797,0.8151480449,0.9597911989,,
193,0.7876360189,0.7463844974,0.8155862583,0.9598494535,,
191,0.7876315758,0.7465156607,0.8153810261,0.9598234326,,
192,0.787631219,0.746437931,0.8154943083,0.959840013,,
190,0.7876246868,0.7465433503,0.8153215838,0.9598178085,,
185,0.7875666221,0.7467704584,0.8148365934,0.9597377544,,
183,0.7875560095,0.7466504694,0.8149789957,0.9597892259,,
184,0.7875524277,0.7466747412,0.8149357512,0.9597733135,,
182,0.7875266721,0.7466194507,0.8149439552,0.9598011186,,
178,0.7875003806,0.7467413759,0.8146895375,0.9597945686,,
179,0.7874918937,0.746697136,0.8147319394,0.9598020198,,
181,0.7874912409,0.7466383145,0.814822585,0.9597847756,,
180,0.7874903742,0.7466468708,0.814804623,0.9597981253,,
132,0.7685749471,0.7254402763,0.7957724201,0.9963362376,0.9534302852,
131,0.7682035704,0.7249217967,0.7955588813,0.9963310893,0.9533760488,
130,0.7677018985,0.7243104261,0.7950484994,0.9963682764,0.9537952795,
129,0.7673558045,0.7238003598,0.7948845199,0.9963666777,0.9537765064,
128,0.766972519,0.7233634218,0.7945089028,0.9963647058,0.9537586391,
127,0.7664862879,0.7226511771,0.7942827619,0.9963572172,0.9536711901,
126,0.7660242963,0.7222169906,0.7936362913,0.9539526318,0.9963881486,
125,0.7656682194,0.721767148,0.7933448868,0.9963874571,0.9539866314,
124,0.7652803525,0.7213722815,0.7928928243,0.9539708627,0.9963862012,
123,0.7647754109,0.7208776517,0.7922547255,0.996419961,0.9540607384,
122,0.7643634035,0.7202998001,0.7920149669,0.9964183736,0.9540391883,
121,0.7639573956,0.7197669564,0.7917198215,0.9964175545,0.9540380204,
120,0.7635487122,0.7192724687,0.7913666679,0.9539953721,0.9964165986,
106,0.7633290191,0.7205059058,0.7889477651,0.9537531407,0.9964086868,
110,0.7632769423,0.7201179743,0.7893713672,0.953873592,0.9964409612,
119,0.7631908859,0.7188503956,0.79103252,0.9540064669,0.9964161186,
105,0.7631595558,0.7204366401,0.9537422337,0.788594923,0.9964025241,
104,0.7629791671,0.7204699184,0.7880661288,0.9536809268,0.9963979273,
109,0.7629283158,0.7197793901,0.7889402688,0.953860092,0.9964377675,
108,0.7628638721,0.7197971613,0.7887433441,0.9538334869,0.9964336894,
118,0.7627758925,0.7185089544,0.790424361,0.9540003326,0.9964158287,
114,0.7627404984,0.7193052838,0.789125172,0.9539900014,0.9964375234,
103,0.7626463877,0.7200300528,0.7877208979,0.9542898727,0.9964498532,
107,0.7625388886,0.7195122825,0.7882997529,0.9537937089,0.9964302427,
117,0.7624543774,0.7181371359,0.7901132119,0.9540086322,0.9964143279,
113,0.7623526255,0.7187461287,0.7888933939,0.9541297011,0.9964754116,
102,0.762347555,0.7197069742,0.787402017,0.954273037,0.9964458371,
116,0.7623337733,0.7182592375,0.7896030707,0.953999616,0.9964103949,
101,0.7623148627,0.7192299582,0.7880364015,0.9542646323,0.9964416446,
112,0.7622041663,0.7186761418,0.788604967,0.9540822592,0.9964709734,
111,0.7621701432,0.7187385899,0.7884257615,0.9540399002,0.9964660921,
100,0.7621409328,0.7190297371,0.7878491465,0.9543632627,0.996483415,
115,0.7619748454,0.7180334103,0.7889490549,0.9541188436,0.9964552975,
99,0.7619017805,0.7189018599,0.7873976017,0.9543424179,0.9964796618,
98,0.7617091447,0.7188830494,0.7869064821,0.9543256134,0.9964791374,
97,0.7615184036,0.7184629509,0.7870209008,0.9543469644,0.9964734805,
96,0.7613969334,0.7184744859,0.9543400644,0.7866753033,0.9964683014,
95,0.7611154936,0.7178404878,0.954788009,0.7867912046,0.9965173002,
2,0.6695603783,0.6332728917,0.9883689143,0.9928934698,0.9926920792,0.9920158919
